alpha,accuracy,precision,time
1.0,0.2757142857142857,0.2515128117544459,19.51641845703125
2.0,0.4107142857142857,0.3912959208765706,18.606899976730347
3.0,0.4766666666666667,0.4610485392606908,19.39714503288269
4.0,0.6061904761904762,0.5965184887305985,19.50981116294861
5.0,0.7276190476190476,0.7240297027657709,20.495121002197266
6.0,0.8166666666666667,0.8155159327659961,20.614192247390747
7.0,0.8611904761904762,0.8608266546220555,21.771260023117065
8.0,0.8947619047619048,0.8938125708884239,22.39917516708374
9.0,0.9107142857142857,0.9103373591985209,23.626994371414185
10.0,0.9285714285714286,0.9275268049347064,24.55101442337036
11.0,0.93,0.9288794513722334,25.53910803794861
12.0,0.9411904761904762,0.9405978094814961,26.283813953399658
13.0,0.9523809523809523,0.951949417464253,27.661441326141357
14.0,0.955952380952381,0.9553958762979754,28.259191274642944
15.0,0.9592857142857143,0.9587580322392155,29.370811939239502
16.0,0.9611904761904762,0.9606564362825587,30.006264448165894
17.0,0.9647619047619047,0.9642748726021709,31.49752378463745
18.0,0.9647619047619047,0.9641372756865085,32.43736982345581
19.0,0.9673809523809523,0.9669507189064968,34.11934232711792
20.0,0.9697619047619047,0.969376581526525,34.44658446311951
21.0,0.9695238095238096,0.9690917015477556,35.902475357055664
22.0,0.9711904761904762,0.9710547191277149,37.065224409103394
23.0,0.9719047619047619,0.9716711521415394,35.52182698249817
24.0,0.9721428571428572,0.9717563296859286,36.71463489532471
25.0,0.9721428571428572,0.9716731291149274,37.11301112174988
26.0,0.9735714285714285,0.9731103428057924,37.514185428619385
27.0,0.9745238095238096,0.9742061179202366,38.663158893585205
28.0,0.9738095238095238,0.9734642529121302,39.83883738517761
29.0,0.9738095238095238,0.973482701213442,40.52615785598755
30.0,0.9735714285714285,0.9731931732776425,41.68876314163208
31.0,0.9745238095238096,0.9743113636266466,43.46975922584534
32.0,0.9733333333333334,0.9730028507829245,43.43175506591797
33.0,0.9738095238095238,0.9735898899259634,45.53906011581421
34.0,0.9742857142857143,0.9739243354802033,46.902578830718994
35.0,0.9742857142857143,0.9740359758173435,48.13117480278015
36.0,0.9738095238095238,0.973487766741774,49.11864495277405
37.0,0.9738095238095238,0.9735457262093726,47.87618112564087
38.0,0.9735714285714285,0.9732593064067707,46.31663465499878
39.0,0.9742857142857143,0.9739101067266986,46.780028343200684
40.0,0.9745238095238096,0.9742629082090739,47.69649004936218
41.0,0.9738095238095238,0.9735455253879772,48.78603982925415
42.0,0.9735714285714285,0.9732538321132669,49.45003581047058
43.0,0.9733333333333334,0.9730925322575175,50.22034788131714
44.0,0.974047619047619,0.973751841257857,52.16600203514099
45.0,0.9742857142857143,0.973985511969398,56.068946838378906
46.0,0.9742857142857143,0.9740130041157661,60.30932903289795
47.0,0.9747619047619047,0.9745218703416334,58.95910167694092
48.0,0.9747619047619047,0.9744470967342458,59.097954511642456
49.0,0.9745238095238096,0.9741709377963733,60.99823832511902
50.0,0.9735714285714285,0.9732972195516385,64.83522510528564
51.0,0.974047619047619,0.9738549431390242,75.31013774871826
52.0,0.9742857142857143,0.974024194612521,67.52445721626282
53.0,0.9738095238095238,0.9735693903251192,74.74963307380676
54.0,0.9738095238095238,0.973571379382243,72.17741060256958
55.0,0.9735714285714285,0.9733394828306376,71.92542219161987
56.0,0.9742857142857143,0.9740480315493226,63.39253377914429
57.0,0.9745238095238096,0.9742802022774317,67.11513829231262
58.0,0.9738095238095238,0.9734963276074293,75.68723225593567
59.0,0.9738095238095238,0.9735381773564413,68.58337831497192
60.0,0.9738095238095238,0.973540037933643,71.63914132118225
61.0,0.9735714285714285,0.9733389781581451,69.89891910552979
62.0,0.9738095238095238,0.9736267242407821,76.7246446609497
63.0,0.9747619047619047,0.9745680060274815,73.32836031913757
64.0,0.9742857142857143,0.9741116479466772,71.7785313129425
65.0,0.9747619047619047,0.9745669380502381,77.21178865432739
66.0,0.974047619047619,0.9739036220504156,74.24458122253418
67.0,0.974047619047619,0.9738371974709485,75.75088715553284
68.0,0.9742857142857143,0.9741685085021636,75.33381223678589
69.0,0.9747619047619047,0.974649141096916,75.34220170974731
70.0,0.9735714285714285,0.9734948225159282,81.54612159729004
71.0,0.974047619047619,0.9740264337421334,78.41529297828674
72.0,0.974047619047619,0.973975708263044,81.25876045227051
73.0,0.9735714285714285,0.973498168573552,82.53662276268005
74.0,0.9742857142857143,0.9742155662047434,85.13196516036987
