tamaño,tiempo,alpha
90,0.018993854522705078,alpha_34
90,0.015250205993652344,alpha_34
90,0.01866316795349121,alpha_94
90,0.019421815872192383,alpha_94
180,0.02968907356262207,alpha_34
180,0.03104090690612793,alpha_34
180,0.02880549430847168,alpha_94
180,0.032575130462646484,alpha_94
360,0.06299281120300293,alpha_34
360,0.06500768661499023,alpha_34
360,0.06361746788024902,alpha_94
360,0.06306147575378418,alpha_94
540,0.08458995819091797,alpha_34
540,0.08515286445617676,alpha_34
540,0.0956270694732666,alpha_94
540,0.09192824363708496,alpha_94
720,0.12238883972167969,alpha_34
720,0.12810802459716797,alpha_34
720,0.18450188636779785,alpha_94
720,0.1411592960357666,alpha_94
900,0.14663076400756836,alpha_34
900,0.16035175323486328,alpha_34
900,0.2193603515625,alpha_94
900,0.18859648704528809,alpha_94
1080,0.2268083095550537,alpha_34
1080,0.21548676490783691,alpha_34
1080,0.2628052234649658,alpha_94
1080,0.2318553924560547,alpha_94
1260,0.22137904167175293,alpha_34
1260,0.23208022117614746,alpha_34
1260,0.26673150062561035,alpha_94
1260,0.2556285858154297,alpha_94
1440,0.2611567974090576,alpha_34
1440,0.24529743194580078,alpha_34
1440,0.29248952865600586,alpha_94
1440,0.29663515090942383,alpha_94
1620,0.2832968235015869,alpha_34
1620,0.3174762725830078,alpha_34
1620,0.3447403907775879,alpha_94
1620,0.3302571773529053,alpha_94
1800,0.3343534469604492,alpha_34
1800,0.3084425926208496,alpha_34
1800,0.39767885208129883,alpha_94
1800,0.3955698013305664,alpha_94
1980,0.3663828372955322,alpha_34
1980,0.35175323486328125,alpha_34
1980,0.45070695877075195,alpha_94
1980,0.4595763683319092,alpha_94
2160,0.3900790214538574,alpha_34
2160,0.39660167694091797,alpha_34
2160,0.5166630744934082,alpha_94
2160,0.510040283203125,alpha_94
2340,0.6127915382385254,alpha_34
2340,0.6053235530853271,alpha_34
2340,0.5919990539550781,alpha_94
2340,0.6708214282989502,alpha_94
2520,0.5403225421905518,alpha_34
2520,0.5300328731536865,alpha_34
2520,0.7232456207275391,alpha_94
2520,0.7412407398223877,alpha_94
2700,0.42112088203430176,alpha_34
2700,0.38452696800231934,alpha_34
2700,0.5401186943054199,alpha_94
2700,0.5088629722595215,alpha_94
2880,0.4447002410888672,alpha_34
2880,0.41969847679138184,alpha_34
2880,0.570214033126831,alpha_94
2880,0.5765907764434814,alpha_94
3060,0.47365260124206543,alpha_34
3060,0.45171141624450684,alpha_34
3060,0.6364336013793945,alpha_94
3060,0.6262941360473633,alpha_94
3240,0.5002334117889404,alpha_34
3240,0.48314547538757324,alpha_34
3240,0.6885364055633545,alpha_94
3240,0.6977653503417969,alpha_94
3420,0.5357074737548828,alpha_34
3420,0.5173773765563965,alpha_34
3420,0.7740910053253174,alpha_94
3420,0.7833616733551025,alpha_94
3600,0.5755176544189453,alpha_34
3600,0.564225435256958,alpha_34
3600,0.8459463119506836,alpha_94
3600,0.822859525680542,alpha_94
3780,0.6085619926452637,alpha_34
3780,0.5912930965423584,alpha_34
3780,0.9003255367279053,alpha_94
3780,0.9181969165802002,alpha_94
3960,0.6551263332366943,alpha_34
3960,0.6305956840515137,alpha_34
3960,0.9825024604797363,alpha_94
3960,0.9959926605224609,alpha_94
4140,0.6877918243408203,alpha_34
4140,0.6715052127838135,alpha_34
4140,1.0646979808807373,alpha_94
4140,1.062999963760376,alpha_94
4320,0.7262508869171143,alpha_34
4320,0.7191510200500488,alpha_34
4320,1.1904346942901611,alpha_94
4320,1.1507341861724854,alpha_94
4500,0.771977424621582,alpha_34
4500,0.7607390880584717,alpha_34
4500,1.2774286270141602,alpha_94
4500,1.2276525497436523,alpha_94
